Player,Matchup,League,Category,PrizePicks Line,RotoWire Proj,RotoWire Proj
Aidan O'Connell,vs KC,NFL,Fantasy Score,12,9.55,-20.43%
Jaylen Warren,@ CIN,NFL1H,Rush Yards,24.5,19.50,-20.41%
Dalton Kincaid,@ PHI,NFL,Receiving Yards,51.5,41.00,-20.39%
J.T. Miller,@ SJ,NHL,Assists,0.5,0.60,20.20%
Adam Thielen,@ TEN,NFL,Receiving Yards,67.5,53.91,-20.14%
Diogo Dalot,@ EVE,SOCCER,Shots,0.5,0.60,20.00%
Tyler Boyd,vs PIT,NFL,Targets,5,6.00,20.00%
Alan Pulido,@ HOU,SOCCER,Tackles,0.5,0.40,-20.00%
Odell Beckham Jr,@ LAC,NFL,Targets,5.5,4.40,-20.00%
Tommy Tremble,@ TEN,NFL,Receiving Yards,17.5,14.01,-19.94%
Tyler Allgeier,vs NO,NFL,Fantasy Score,6.5,7.79,19.80%
Tyler Boyd,vs PIT,NFL1H,Receiving Yards,18.5,22.14,19.68%
Brendan Chardonnet,@ MON,SOCCER,Clearances,3,3.59,19.67%
Grant Williams,@ LAC,NBA1H,Fantasy Score,9.5,11.37,19.64%
Dalton Kincaid,@ PHI,NFL1H,Receiving Yards,25.5,20.50,-19.61%
Collin Sexton,vs NOP,NBA,Points,13.5,16.14,19.54%
Phil Mafah,@ South Carolina,CFB2H,Rush Yards,42.5,34.23,-19.47%
Collin Sexton,vs NOP,NBA,Pts+Asts,16.5,19.70,19.40%
Collin Sexton,vs NOP,NBA1H,Pts+Rebs+Asts,9.5,11.34,19.36%
Ty Chandler,vs CHI,NFL,Rush + Rec Yds,47.5,38.31,-19.34%
Kenny Pickett,@ CIN,NFL,Fantasy Score,13.5,10.89,-19.30%
Norman Powell,vs DAL,NBA1H,Points,6.5,7.75,19.18%
Dallin Holker,@ Hawaii,CFB,Receiving Yards,50.5,60.14,19.10%
Jake Elliott,vs BUF,NFL,Kicking Points,6.5,7.74,19.09%
James Harden,vs DAL,NBA,Points,15.5,18.46,19.08%
Aidan O'Connell,vs KC,NFL,Pass Yards,199.5,161.47,-19.06%
Aidan O'Connell,vs KC,NFL,Pass + Rush Yds,206.5,167.16,-19.05%
Roschon Johnson,@ MIN,NFL,Rush + Rec Yds,32.5,38.68,19.02%
Chris Olave,@ ATL,NFL,Targets,9.5,7.70,-18.95%
Kaapo Kahkonen,vs VAN,NHL,Goalie Saves,29.5,23.92,-18.91%
Jordan Hawkins,@ UTA,NBA,Points,16.5,13.38,-18.89%
Mike Evans,@ IND,NFL,Targets,8.5,6.90,-18.82%
Matt Ammendola,vs JAX,NFL,Kicking Points,6.5,7.72,18.77%
Tommy DeVito,vs NE,NFL1H,Fantasy Score,4.5,3.66,-18.74%
D'Andre Swift,vs BUF,NFL1H,Rush Yards,27.5,32.65,18.73%
Jerry Jeudy,vs CLE,NFL1H,Receiving Yards,21.5,17.50,-18.60%
Alejandro Garnacho,@ EVE,SOCCER,Shots,2,2.37,18.50%
Najee Harris,@ CIN,NFL,Fantasy Score,9.5,11.25,18.47%
Evan Engram,@ HOU,NFL,Targets,6.5,7.70,18.46%
Ja'Marr Chase,vs PIT,NFL1H,Receiving Yards,32.5,38.50,18.46%
Robert Woods,vs JAX,NFL1H,Receiving Yards,17.5,20.70,18.29%
Rhamondre Stevenson,@ NYG,NFL1H,Fantasy Score,5.5,6.50,18.26%
Tre Tucker,vs KC,NFL,Receiving Yards,9.5,11.23,18.25%
Baker Mayfield,@ IND,NFL,Pass Completions,23.5,19.23,-18.19%
Josh Downs,vs TB,NFL,Targets,5.5,6.50,18.18%
Javonte Williams,vs CLE,NFL,Rush + Rec Yds,73.5,86.85,18.16%
Tommy DeVito,vs NE,NFL,Rush Yards,14.5,11.87,-18.15%
Isaiah Hodgins,vs NE,NFL,Receiving Yards,20.5,16.79,-18.10%
Paul George,vs DAL,NBA,Rebs+Asts,9.5,11.21,18.05%
Azor Matusiwa,@ REN,SOCCER,Tackles,2,2.36,18.00%
Yehvann Diouf,@ REN,SOCCER,Goalie Saves,3,3.54,18.00%
Giorgio Chiellini,@ SOU,SOCCER,Interceptions,1.5,1.77,18.00%
Jake Briningstool,@ South Carolina,CFB2H,Receiving Yards,18.5,15.17,-18.00%
Javonte Williams,vs CLE,NFL,Rush Attempts,14.5,17.10,17.93%
Ty Chandler,vs CHI,NFL,Receiving Yards,9.5,7.80,-17.87%
Paul George,vs DAL,NBA,Free Throws Made,4.5,3.70,-17.86%
Jonas Valanciunas,@ UTA,NBA1H,Points,7,8.25,17.83%
Isiah Pacheco,@ LV,NFL1H,Fantasy Score,6.5,7.66,17.78%
Paul George,vs DAL,NBA,3-PT Made,3.5,2.88,-17.74%
Stefon Diggs,@ PHI,NFL1H,Fantasy Score,7.5,8.83,17.74%
Saquon Barkley,vs NE,NFL,Receiving Yards,20.5,24.13,17.71%
Alvin Kamara,@ ATL,NFL,Rush Attempts,12.5,14.70,17.60%
Fabian Zetterlund,vs VAN,NHL,Shots on Goal,2,2.35,17.60%
Ja'Marr Chase,vs PIT,NFL,Receiving Yards,65.5,77.00,17.56%
D'Angelo Russell,@ CLE,NBA4Q,Points,3.5,4.11,17.49%
Tyler Boyd,vs PIT,NFL,Fantasy Score,8.5,9.99,17.48%
Mike Evans,@ IND,NFL,Receptions,5,4.13,-17.46%
Gus Edwards,@ LAC,NFL1H,Rush Yards,24.5,28.75,17.33%
Chuba Hubbard,@ TEN,NFL,Fantasy Score,10,8.27,-17.33%
Jaka Bijol,@ ROM,SOCCER,Clearances,4.5,5.28,17.33%
Jack Harrison,vs MUN,SOCCER,Shots,1.5,1.24,-17.33%
Kyle Pitts,vs NO,NFL,Receiving Yards,37.5,31.00,-17.33%
Chuba Hubbard,@ TEN,NFL1H,Fantasy Score,5,4.13,-17.33%
Kelly Olynyk,vs NOP,NBA,Rebs+Asts,9,10.56,17.29%
MacKenzie Weegar,@ COL,NHL,Shots on Goal,2,2.34,17.25%
Paul George,vs DAL,NBA1H,Points,13.5,11.17,-17.24%
Kenny Pickett,@ CIN,NFL,Pass Completions,18.5,15.31,-17.23%
Diontae Johnson,@ CIN,NFL,Receiving Yards,53.5,44.29,-17.22%
Kawhi Leonard,vs DAL,NBA1Q,Points,6.5,5.38,-17.21%
Nazem Kadri,@ COL,NHL,Shots on Goal,3,3.51,17.01%
Evan Engram,@ HOU,NFL1H,Fantasy Score,5,5.85,17.00%
D'Andre Swift,vs BUF,NFL1H,Fantasy Score,6,7.02,16.99%
Tutu Atwell,@ ARI,NFL,Receiving Yards,26.5,31.00,16.98%
Jordan Addison,vs CHI,NFL,Receiving Yards,45.5,53.22,16.98%
Derrick Jones Jr.,@ LAC,NBA,Fantasy Score,16,18.71,16.92%
Bryce Young,@ TEN,NFL,Fantasy Score,12,14.03,16.92%
Drake London,vs NO,NFL,Targets,6.5,7.60,16.92%
Derrick Jones Jr.,@ LAC,NBA1H,Fantasy Score,8,9.35,16.92%
Cooper Kupp,@ ARI,NFL1H,Receiving Yards,33.5,39.15,16.87%
Kenny Pickett,@ CIN,NFL,Pass + Rush Yds,208.5,173.54,-16.77%
Guillaume Restes,@ NIC,SOCCER,Goalie Saves,4,3.33,-16.75%
Ja'Marr Chase,vs PIT,NFL,Fantasy Score,14,16.34,16.72%
Christopher Antwi-Adjei,@ HDH,SOCCER,Shots,1.5,1.75,16.67%
Anthony Lopes,vs LIL,SOCCER,Goalie Saves,3,3.50,16.67%
C.J. Stroud,vs JAX,NFL,Pass TDs,1.5,1.75,16.67%
Etrit Berisha,vs SAS,SOCCER,Goalie Saves,3,3.50,16.67%
Robert Woods,vs JAX,NFL,Receiving Yards,35.5,41.40,16.62%
Jonas Valanciunas,@ UTA,NBA,Rebounds,10,11.66,16.61%
Kyrie Irving,@ LAC,NBA1H,Points,13,10.84,-16.60%
Cade Klubnik,@ South Carolina,CFB2H,Fantasy Score,8,9.33,16.58%
Saquon Barkley,vs NE,NFL1H,Fantasy Score,7,8.16,16.50%
Bijan Robinson,vs NO,NFL,Fantasy Score,13,15.14,16.43%
Bijan Robinson,vs NO,NFL1H,Fantasy Score,6.5,7.57,16.43%
Rocco Becht,@ Kansas State,CFB2H,Pass Yards,102.5,85.70,-16.39%
Jordan Hawkins,@ UTA,NBA1H,Points,8,6.69,-16.36%
Jonnu Smith,vs NO,NFL,Receptions,3,2.51,-16.33%
Collin Sexton,vs NOP,NBA,Pts+Rebs+Asts,19.5,22.68,16.30%
Brandon Ingram,@ UTA,NBA,Rebounds,5,5.81,16.26%
Kyle Pitts,vs NO,NFL1H,Receiving Yards,18.5,15.50,-16.22%
Rhamondre Stevenson,@ NYG,NFL,Rush Yards,62.5,52.39,-16.18%
Gus Edwards,@ LAC,NFL,Rush Yards,49.5,57.49,16.15%
Chad Ryland,@ NYG,NFL1H,Fantasy Score,4,3.36,-16.04%
David Njoku,@ DEN,NFL,Receptions,4.5,3.78,-16.00%
Will Levis,vs CAR,NFL,INT,0.5,0.58,16.00%
Cooper Kupp,@ ARI,NFL,Receiving Yards,67.5,78.30,16.00%
Jerome Ford,@ DEN,NFL,Receiving Yards,10.5,12.18,15.97%
Grant Williams,@ LAC,NBA,Points,8.5,9.85,15.94%
Jalen Hurts,vs BUF,NFL,Pass Attempts,32,26.90,-15.94%
Collin Sexton,vs NOP,NBA,Pts+Rebs,16.5,19.12,15.85%
Kyrie Irving,@ LAC,NBA,Pts+Asts,31.5,26.51,-15.84%
Desmond Ridder,vs NO,NFL1H,Fantasy Score,5.5,6.37,15.79%
Paul George,vs DAL,NBA,Points,26.5,22.35,-15.68%
Pedro Porro,vs AVL,SOCCER,Tackles,2.5,2.11,-15.60%
Jake Elliott,vs BUF,NFL,Fantasy Score,7.5,8.67,15.60%
Jalen Hurts,vs BUF,NFL,Pass Completions,21.5,18.15,-15.59%
Jonathan Taylor,vs TB,NFL,Rush + Rec Yds,104.5,88.23,-15.57%
Austin Ekeler,vs BAL,NFL,Rush Yards,48.5,41.00,-15.46%
Randy Bullock,vs NE,NFL1H,Fantasy Score,3.5,2.96,-15.44%
Nico Collins,vs JAX,NFL,Targets,6.5,7.50,15.38%
James Harden,vs DAL,NBA1Q,Points,4,4.61,15.36%
Sergi Cardona,@ BET,SOCCER,Interceptions,1.5,1.73,15.33%
Jude Bellingham,@ CAD,SOCCER,Tackles,1.5,1.27,-15.33%
Matt Ammendola,vs JAX,NFL,Fantasy Score,7.5,8.65,15.33%
Ezri Konsa,@ TOT,SOCCER,Clearances,3,3.46,15.33%
John Collins,vs NOP,NBA1H,Points,8.5,7.20,-15.28%
John Collins,vs NOP,NBA,Points,17,14.40,-15.28%
Zay Flowers,@ LAC,NFL,Receptions,5,4.24,-15.20%
Joe Mixon,vs PIT,NFL,Receptions,2.5,2.12,-15.18%
Marco Silvestri,@ ROM,SOCCER,Goalie Saves,3.5,2.97,-15.14%
Kenny Pickett,@ CIN,NFL,Pass Yards,195.5,166.23,-14.97%
Kyrie Irving,@ LAC,NBA,Points,25.5,21.68,-14.97%
Chris Olave,@ ATL,NFL,Receptions,5.5,4.68,-14.96%
Saquon Barkley,vs NE,NFL1H,Receiving Yards,10.5,12.07,14.90%
Ivica Zubac,vs DAL,NBA1H,Fantasy Score,11.5,13.21,14.86%
Paul George,vs DAL,NBA,Turnovers,2.5,2.87,14.71%
Hunter Henry,@ NYG,NFL,Fantasy Score,7.5,6.40,-14.69%
Younghoe Koo,vs NO,NFL,FG Made,1.5,1.72,14.67%
Cameron Dicker,vs BAL,NFL,Kicking Points,6.5,7.45,14.61%
Tyler Boyd,vs PIT,NFL,Receptions,3.5,4.01,14.57%
Courtland Sutton,vs CLE,NFL,Receptions,3.5,2.99,-14.57%
Clayton Keller,@ VGK,NHL,Shots on Goal,2.5,2.14,-14.50%
Alexandre Lacazette,vs LIL,SOCCER,Shots,2,2.29,14.50%
Chigoziem Okonkwo,vs CAR,NFL,Fantasy Score,6,6.87,14.47%
Chigoziem Okonkwo,vs CAR,NFL1H,Fantasy Score,3,3.43,14.47%
Ivica Zubac,vs DAL,NBA1H,Points,5.5,4.71,-14.44%
Demario Douglas,@ NYG,NFL,Receptions,4.5,3.85,-14.43%
Zay Flowers,@ LAC,NFL1H,Receiving Yards,32.5,27.81,-14.43%
Ollie Watkins,@ TOT,SOCCER,Shots,2.5,2.86,14.40%
Kyrie Irving,@ LAC,NBA1H,Pts+Rebs+Asts,18.5,15.85,-14.31%
Aidan O'Connell,vs KC,NFL,Pass Attempts,31.5,27.00,-14.29%
Drake London,vs NO,NFL1H,Fantasy Score,5.5,6.29,14.29%
Drake London,vs NO,NFL,Fantasy Score,11,12.57,14.29%
Austin Ekeler,vs BAL,NFL,Receiving Yards,31.5,36.00,14.29%
Tyjae Spears,vs CAR,NFL,Rush + Rec Yds,45.5,39.08,-14.12%
James Conner,vs LAR,NFL,Rush + Rec Yds,91.5,78.59,-14.11%
Pierre Lees-Melou,@ MON,SOCCER,Shots,1.5,1.71,14.00%
Jan-Niklas Beste,vs BOC,SOCCER,Interceptions,0.5,0.43,-14.00%
Davante Adams,vs KC,NFL,Fantasy Score,13.5,15.39,14.00%
Dorian Thompson-Robinson,@ DEN,NFL,Pass Completions,17.5,15.06,-13.97%
Paul George,vs DAL,NBA1H,Pts+Rebs+Asts,19.5,16.78,-13.95%
Mikko Rantanen,vs CGY,NHL,Shots on Goal,3,3.42,13.93%
Kawhi Leonard,vs DAL,NBA1H,Points,12.5,10.76,-13.90%
Josh Downs,vs TB,NFL1H,Fantasy Score,5,5.70,13.90%
Daniel Carlson,vs KC,NFL1H,Fantasy Score,3.5,3.99,13.86%
Nathan MacKinnon,vs CGY,NHL,Points,1.5,1.29,-13.82%
Keyonte George,vs NOP,NBA1H,Fantasy Score,13.5,15.36,13.80%
Keenan Allen,vs BAL,NFL,Receptions,8,6.90,-13.78%
Jonas Valanciunas,@ UTA,NBA,Points,14.5,16.50,13.77%
Zay Flowers,@ LAC,NFL,Receiving Yards,64.5,55.62,-13.77%
Derrick Henry,vs CAR,NFL,Receiving Yards,11.5,9.92,-13.76%
Robert Woods,vs JAX,NFL,Receptions,3.5,3.98,13.71%
Brandon McManus,@ HOU,NFL,FG Made,1.5,1.70,13.67%
Chris Godwin,@ IND,NFL,Receiving Yards,51.5,58.53,13.66%
James Harden,vs DAL,NBA,Turnovers,2.5,2.84,13.65%
Trey Palmer,@ IND,NFL,Receiving Yards,27.5,31.25,13.63%
Noah Hanifin,@ COL,NHL,Shots on Goal,2,2.27,13.61%
Jerry Jeudy,vs CLE,NFL,Receiving Yards,40.5,35.00,-13.58%
Tyjae Spears,vs CAR,NFL,Rush Yards,24.5,21.17,-13.58%
Anthony Davis,@ CLE,NBA4Q,Points,5,5.68,13.53%
Roschon Johnson,@ MIN,NFL,Rush Yards,22.5,25.54,13.51%
Derek Carr,@ ATL,NFL1H,Fantasy Score,6.5,7.38,13.49%
Tank Dell,vs JAX,NFL1H,Fantasy Score,6.5,7.37,13.45%
Mark Stone,vs ARI,NHL,Shots on Goal,2.5,2.17,-13.37%
Danielle Hunter,vs CHI,NFL,Sacks,0.75,0.65,-13.35%
Kyler Murray,vs LAR,NFL,Touchdowns,1.5,1.70,13.33%
Teddy Teuma,@ REN,SOCCER,Shots,1.5,1.70,13.33%
Younghoe Koo,vs NO,NFL,Fantasy Score,7.5,8.50,13.33%
Matias Maccelli,@ VGK,NHL,Points,0.5,0.57,13.30%
Dustin Hopkins,@ DEN,NFL,Kicking Points,5.5,6.23,13.30%
Tyler Allgeier,vs NO,NFL,Rush Yards,35.5,40.20,13.25%
Jordan Addison,vs CHI,NFL1H,Receiving Yards,23.5,26.61,13.24%
Derrick Jones Jr.,@ LAC,NBA1H,Points,3.5,3.96,13.18%
Saquon Barkley,vs NE,NFL,Rush Attempts,17.5,19.80,13.14%
Jonathan Taylor,vs TB,NFL1H,Fantasy Score,7.5,8.48,13.11%
Puka Nacua,@ ARI,NFL1H,Receiving Yards,29.5,33.37,13.11%
Evan Mobley,vs LAL,NBA4Q,Points,3.5,3.96,13.10%
Bijan Robinson,vs NO,NFL,Rush Yards,57.5,50.00,-13.04%
Matt Gay,vs TB,NFL,Fantasy Score,7.5,8.48,13.02%
Rocco Becht,@ Kansas State,CFB2H,Fantasy Score,6.5,5.65,-13.01%
Romelu Lukaku,vs UDI,SOCCER,Shots,3,3.39,13.00%
Keenan Allen,vs BAL,NFL,Receiving Yards,88.5,77.01,-12.98%
Mekhi Shaw,vs Fresno State,CFB,Receiving Yards,30.5,34.45,12.96%
Younghoe Koo,vs NO,NFL,Kicking Points,6.5,7.34,12.92%
DeVonta Smith,vs BUF,NFL1H,Fantasy Score,6,6.77,12.88%
Drake London,vs NO,NFL,Receiving Yards,50.5,57.00,12.87%
Ty Chandler,vs CHI,NFL1H,Rush Yards,17.5,15.26,-12.83%
James Harden,vs DAL,NBA1H,Pts+Rebs+Asts,14.5,16.36,12.83%
Jeremiah Hunter,@ UCLA,CFB,Receiving Yards,46.5,52.44,12.78%
Jonas Valanciunas,@ UTA,NBA,Pts+Asts,16.5,18.61,12.78%
Justin Watson,@ LV,NFL,Receiving Yards,32.5,28.38,-12.68%
Christian Kirk,@ HOU,NFL,Receptions,5,4.37,-12.67%
Gerard Moreno,vs OSA,SOCCER,Shots,3,3.38,12.67%
Munir El Haddadi,@ BET,SOCCER,Shots,1.5,1.69,12.67%
Jonas Valanciunas,@ UTA,NBA,Pts+Rebs,25,28.16,12.63%
Evan Engram,@ HOU,NFL,Receptions,5,5.63,12.60%
Dalton Schultz,vs JAX,NFL,Receptions,4,3.50,-12.57%
Tyler Bass,@ PHI,NFL,Fantasy Score,7.5,8.44,12.53%
Omarion Hampton,@ North Carolina State,CFB2H,Rush Yards,55.5,48.55,-12.52%
DeVonta Smith,vs BUF,NFL1H,Receiving Yards,28.5,32.06,12.50%
Nabil Bentaleb,@ OL,SOCCER,Tackles,2,2.25,12.50%
Paul Cotter,vs ARI,NHL,Hits,2.5,2.19,-12.47%
Adam Thielen,@ TEN,NFL,Fantasy Score,14.5,12.70,-12.43%
Ivica Zubac,vs DAL,NBA,Fantasy Score,23.5,26.42,12.42%
Tyler Allgeier,vs NO,NFL,Rush + Rec Yds,42.5,47.77,12.41%
Calvin Ridley,@ HOU,NFL,Receiving Yards,60.5,53.00,-12.40%
D'Andre Swift,vs BUF,NFL,Fantasy Score,12.5,14.04,12.31%
Keven Schlotterbeck,@ HDH,SOCCER,Clearances,4,4.49,12.25%
Matt Gay,vs TB,NFL,FG Made,1.5,1.68,12.22%
A.J. Brown,vs BUF,NFL1H,Fantasy Score,8,8.98,12.21%
Diontae Johnson,@ CIN,NFL,Fantasy Score,12,10.54,-12.19%
Patrick Mahomes,@ LV,NFL,Pass Yards,259.5,291.15,12.19%
Kawhi Leonard,vs DAL,NBA,Points,24.5,21.52,-12.14%
Brandon Ingram,@ UTA,NBA,Points,29.5,25.92,-12.13%
Equanimeous St. Brown,@ MIN,NFL,Receiving Yards,7.5,8.40,12.07%
Trevor Lawrence,@ HOU,NFL,Pass Attempts,34,38.10,12.06%
Calvin Ridley,@ HOU,NFL,Targets,7.5,6.60,-12.00%
Falaye Sacko,vs BRE,SOCCER,Tackles,1.5,1.32,-12.00%
Houssem Aouar,vs UDI,SOCCER,Shots on Target,0.5,0.44,-12.00%
Saquon Barkley,vs NE,NFL,Receptions,3.5,3.08,-12.00%
Carlos Vela,@ SOU,SOCCER,Shots,2,2.24,12.00%
Martin Terrier,vs SR,SOCCER,Shots on Target,0.5,0.44,-12.00%
Devin Singletary,vs JAX,NFL,Rush Yards,46.5,52.07,11.98%
Luka Doncic,@ LAC,NBA1H,Pts+Rebs+Asts,25.5,22.46,-11.93%
Alvin Kamara,@ ATL,NFL1H,Fantasy Score,7.5,8.39,11.91%
Jaylen Warren,@ CIN,NFL,Rush + Rec Yds,71.5,63.00,-11.89%
Kyrie Irving,@ LAC,NBA,Pts+Rebs,30.5,26.88,-11.88%
D'Andre Swift,vs BUF,NFL,Rush Attempts,13.5,15.10,11.85%
Lamar Jackson,@ LAC,NFL,Rush Attempts,8.5,9.50,11.76%
Luka Doncic,@ LAC,NBA,Points,31.5,27.80,-11.75%
Keyonte George,vs NOP,NBA,Fantasy Score,27.5,30.73,11.73%
D'Andre Swift,vs BUF,NFL,Rush Yards,58.5,65.30,11.62%
James Conner,vs LAR,NFL,Rush Yards,74.5,65.87,-11.59%
Kareem Hunt,@ DEN,NFL,Rush Attempts,9.5,10.60,11.58%
Justin Tucker,@ LAC,NFL,Kicking Points,7.5,8.37,11.57%
Chase McLaughlin,@ IND,NFL1H,Fantasy Score,4,3.54,-11.55%
DeVonta Smith,vs BUF,NFL,Receiving Yards,57.5,64.13,11.53%
Jalin Hyatt,vs NE,NFL,Receptions,2,1.77,-11.50%
Marcin Bulka,vs TFC,SOCCER,Goalie Saves,2,2.23,11.50%
Dyson Daniels,@ UTA,NBA,Pts+Asts,14.5,12.83,-11.49%
Evan Engram,@ HOU,NFL,Fantasy Score,10.5,11.70,11.43%
Kyrie Irving,@ LAC,NBA,Free Throws Made,3.5,3.10,-11.43%
Jalen Hurts,vs BUF,NFL,Pass TDs,1.5,1.33,-11.38%
Tyler Higbee,@ ARI,NFL,Receiving Yards,25.5,22.60,-11.36%
DJ Giddens,vs Iowa State,CFB2H,Rush Yards,45.5,40.36,-11.31%
Ty Chandler,vs CHI,NFL,Rush Attempts,8,7.10,-11.25%
Kareem Hunt,@ DEN,NFL,Receiving Yards,6.5,5.77,-11.25%
Lamar Jackson,@ LAC,NFL,Pass TDs,1.5,1.33,-11.24%
T.J. Hockenson,vs CHI,NFL,Receiving Yards,62.5,55.51,-11.18%
J.T. Miller,@ SJ,NHL,Shots on Goal,2.5,2.22,-11.15%
Phillip Brooks,vs Iowa State,CFB2H,Receiving Yards,21.5,23.90,11.15%
Travis Etienne,@ HOU,NFL,Touchdowns,0.5,0.56,11.10%
Brandon Ingram,@ UTA,NBA,Pts+Asts,35.5,31.56,-11.09%
Gabriel Suazo,@ NIC,SOCCER,Tackles,2,1.78,-11.00%
James Harden,vs DAL,NBA,Pts+Rebs+Asts,29.5,32.72,10.91%
Trey McBride,vs LAR,NFL,Receptions,5.5,4.90,-10.91%
Keenan Allen,vs BAL,NFL,Targets,11,9.80,-10.91%
Paul George,vs DAL,NBA,Pts+Rebs,33,29.40,-10.89%
Nico Collins,vs JAX,NFL,Fantasy Score,12,13.31,10.89%
Nico Collins,vs JAX,NFL1H,Fantasy Score,6,6.65,10.89%
Demario Douglas,@ NYG,NFL,Fantasy Score,11,9.80,-10.88%
John Collins,vs NOP,NBA1H,Pts+Rebs+Asts,13.5,12.05,-10.75%
Jalen Hurts,vs BUF,NFL1H,Pass Yards,123.5,110.24,-10.74%
Joe Mixon,vs PIT,NFL,Fantasy Score,14,12.50,-10.71%
Desmond Ridder,vs NO,NFL,Pass Attempts,28,31.00,10.71%
Kyrie Irving,@ LAC,NBA,Pts+Rebs+Asts,35.5,31.70,-10.69%
Robert Skov,vs M05,SOCCER,Shots,1.5,1.66,10.67%
Brandon Ingram,@ UTA,NBA1H,Points,14.5,12.96,-10.62%
Kawhi Leonard,vs DAL,NBA,Pts+Asts,27.5,24.60,-10.54%
Jack Eichel,vs ARI,NHL,Shots on Goal,3.5,3.87,10.54%
Chad Ryland,@ NYG,NFL,Fantasy Score,7.5,6.72,-10.44%
Stefon Diggs,@ PHI,NFL,Fantasy Score,16,17.66,10.39%
Jalen Mayden,vs Fresno State,CFB,Pass Yards,190.5,170.73,-10.38%
Ivica Zubac,vs DAL,NBA,Points,10.5,9.41,-10.36%
Jake Browning,vs PIT,NFL,Fantasy Score,11.5,12.69,10.35%
Luka Doncic,@ LAC,NBA1H,Points,15.5,13.90,-10.33%
Rashee Rice,@ LV,NFL,Receptions,4,3.59,-10.33%
Christian Kirk,@ HOU,NFL,Receiving Yards,60.5,54.27,-10.30%
DJ Giddens,vs Iowa State,CFB2H,Fantasy Score,7.5,8.27,10.27%
Eddy Pineiro,@ TEN,NFL1H,Fantasy Score,3.5,3.14,-10.24%
Jonas Valanciunas,@ UTA,NBA,Rebs+Asts,12.5,13.77,10.19%
Jalen Hurts,vs BUF,NFL,Pass Yards,245.5,220.48,-10.19%
Paul George,vs DAL,NBA,Pts+Asts,29.5,26.50,-10.16%
Derrick Henry,vs CAR,NFL,Fantasy Score,13.5,12.13,-10.15%
Jonas Valanciunas,@ UTA,NBA,Pts+Rebs+Asts,27.5,30.27,10.07%
Tank Dell,vs JAX,NFL,Receptions,5,5.50,10.00%
D.J. Moore,@ MIN,NFL,Targets,7,7.70,10.00%
Trevor Lawrence,@ HOU,NFL,Pass TDs,1.5,1.65,10.00%
Russell Wilson,vs CLE,NFL,Pass + Rush Yds,216.5,194.98,-9.94%
Davante Adams,vs KC,NFL1H,Fantasy Score,7,7.69,9.93%
Nick Schmaltz,@ VGK,NHL,Shots on Goal,2,1.80,-9.90%
K.J. Osborn,vs CHI,NFL,Receiving Yards,31.5,34.59,9.82%
Erik Brooks,@ San Diego State,CFB,Receiving Yards,45.5,41.04,-9.81%
Dalton Schultz,vs JAX,NFL1H,Receiving Yards,20.5,18.50,-9.76%
Demario Douglas,@ NYG,NFL,Receiving Yards,46.5,42.00,-9.68%
Jerry Jeudy,vs CLE,NFL,Receptions,3.5,3.16,-9.66%
Kyrie Irving,@ LAC,NBA1Q,Points,6,5.42,-9.65%
Patrick Mahomes,@ LV,NFL,Pass + Rush Yds,285.5,312.97,9.62%
Cole Kmet,@ MIN,NFL,Receptions,4,3.62,-9.59%
Baker Mayfield,@ IND,NFL,Pass Attempts,35.5,32.10,-9.58%
Grant Williams,@ LAC,NBA1H,Points,4.5,4.93,9.50%
Ivica Zubac,vs DAL,NBA1H,Pts+Rebs+Asts,9.5,10.40,9.46%
Tim Hardaway Jr.,@ LAC,NBA,Pts+Rebs+Asts,19.5,21.34,9.43%
Travis Etienne,@ HOU,NFL,Rush Attempts,17,15.40,-9.41%
Gus Edwards,@ LAC,NFL,Receiving Yards,4.5,4.08,-9.41%
Cale Makar,vs CGY,NHL,Shots on Goal,3,2.72,-9.41%
Lamar Jackson,@ LAC,NFL,Pass Yards,234.5,212.46,-9.40%
Isiah Pacheco,@ LV,NFL,Rush Yards,69.5,63.01,-9.34%
Brandon McManus,@ HOU,NFL1H,Fantasy Score,4.5,4.08,-9.34%
Marquez Valdes-Scantling,@ LV,NFL,Receptions,1.5,1.36,-9.31%
Adam Thielen,@ TEN,NFL1H,Fantasy Score,7,6.35,-9.30%
C.J. Stroud,vs JAX,NFL1H,Fantasy Score,8.5,9.29,9.29%
Tank Dell,vs JAX,NFL,Fantasy Score,13.5,14.75,9.24%
Kyler Murray,vs LAR,NFL,Pass Attempts,31.5,34.40,9.21%
Rashee Rice,@ LV,NFL1H,Fantasy Score,5.5,4.99,-9.20%
Dyson Daniels,@ UTA,NBA,Fantasy Score,27,24.53,-9.14%
Brandon Ingram,@ UTA,NBA,Rebs+Asts,10.5,11.46,9.10%
Josh Jacobs,vs KC,NFL,Rush Attempts,16.5,18.00,9.09%
John Collins,vs NOP,NBA,Pts+Rebs+Asts,26.5,24.10,-9.06%
Paulo Dybala,vs UDI,SOCCER,Shots,3,2.73,-9.00%
Sergio Herrera,@ VIL,SOCCER,Goalie Saves,3,2.73,-9.00%
Skelly Alvero,vs LIL,SOCCER,Tackles,2,2.18,9.00%
Davante Adams,vs KC,NFL,Receiving Yards,62.5,68.11,8.98%
Gus Edwards,@ LAC,NFL,Rush + Rec Yds,56.5,61.57,8.97%
Randy Bullock,vs NE,NFL,Fantasy Score,6.5,5.92,-8.93%
Ty Chandler,vs CHI,NFL,Rush Yards,33.5,30.51,-8.93%
